A,B,C,D,E,F,G
1,56,1,2,1,1,4
2,69,0,1,0,0,0
3,46,1,2,1,1,4
4,32,0,1,0,0,0
5,60,0,1,0,0,1
6,25,1,0,2,1,0
7,78,1,2,1,1,4
8,38,1,0,2,1,3
9,56,1,0,2,1,3
10,75,1,2,1,1,4
11,36,0,2,1,1,2
12,40,0,1,0,0,1
13,28,0,0,2,1,0
14,28,0,2,1,1,2
15,41,0,0,2,1,0
16,70,0,0,2,1,0
17,53,0,2,1,1,4
18,57,1,1,0,0,0
19,41,1,0,2,1,0
20,20,1,0,2,1,3
21,39,1,1,0,0,1
22,70,1,1,0,0,1
23,19,1,0,2,1,3
24,41,0,1,0,0,1
25,61,0,0,2,1,0
26,47,1,2,1,1,2
27,55,1,1,0,0,1
28,19,1,0,2,1,0
29,77,1,2,1,1,4
30,38,1,2,1,1,2
31,50,0,1,0,0,0
32,29,1,1,0,0,0
33,75,0,0,2,1,3
34,39,0,2,1,1,4
35,78,1,2,1,1,4
36,61,0,0,2,1,0
37,42,0,0,2,1,0
38,66,1,1,0,0,1
39,44,1,2,1,1,4
40,76,0,0,2,1,0
41,59,0,0,2,1,3
42,45,0,2,1,1,2
43,77,0,1,0,0,0
44,33,0,2,1,1,2
45,32,0,0,2,1,3
46,79,0,0,2,1,3
47,79,0,0,2,1,0
48,64,0,0,2,1,3
49,79,1,0,2,1,3
50,68,0,1,0,0,0
51,61,0,2,1,1,2
52,72,1,1,0,0,0
53,69,0,1,0,0,0
54,74,1,0,2,1,3
55,20,0,2,1,1,4
56,54,0,2,1,1,4
57,68,0,1,0,0,0
58,24,1,2,1,1,2
59,38,0,1,0,0,0
60,26,0,1,0,0,0
61,56,1,0,2,1,3
62,35,1,1,0,0,0
63,21,0,0,2,1,3
64,42,1,1,0,0,1
65,77,1,1,0,0,0
66,31,0,1,0,0,1
67,67,1,2,1,1,4
68,75,0,0,2,1,3
69,26,1,2,1,1,4
70,43,0,2,1,1,2
71,70,1,0,2,1,0
72,19,0,1,0,0,0
73,37,1,2,1,1,2
74,45,0,0,2,1,3
75,64,1,0,2,1,0
76,77,0,2,1,1,4
77,24,0,0,2,1,3
78,61,0,0,2,1,3
79,78,0,1,0,0,0
80,25,1,0,2,1,3
81,64,0,2,1,1,4
